,stop words
0,səncə
1,pah
2,keç
3,hərgah
4,avqust
5,km
6,edir
7,söz
8,bəh-bəh
9,yol
10,lari
11,bir
12,puah
13,bildirib
14,ona
15,kifayət
16,bəh
17,dr
18,proses
19,yanında
20,malik
21,sentiner
22,indi
23,gələcək
24,xülasə
25,yuxarı
26,onillik
27,nəticəsində
28,sözügedən
29,görək
30,fərqli
31,məncə
32,iştirak
33,aid
34,uf
35,həmin
36,doxsan
37,nail
38,məktəb
39,bə
40,ümumiyyətlə
41,naminə
42,manat
43,yüzillik
44,boz
45,olub
46,oğlan
47,aprel
48,ex
49,yenə
50,mərkəzindəki
51,çirk
52,əlqərəz
53,biraz
54,habelə
55,yetmiş
56,rad
57,qarşı
58,di
59,guya
60,iki
61,şəffaf
62,faranheit
63,nəsə
64,zənnimcə
65,mərkəzində
66,görünür
67,da
68,birmənalı
69,tam
70,şənbə
71,alçaq
72,hansı
73,sənə
74,oy
75,sözü
76,gəl
77,onlar
78,görəsən
79,öl
80,tüf
81,özü
82,apar
83,qeyd
84,əleyhinə
85,hamar
86,uzaq
87,soruşur
88,radian
89,qeyri-dəqiq
90,keçir
91,yaşıl
92,ol
93,incə
94,o
95,bəli
96,heç
97,yüngül
98,axır
99,axı
100,kiloqram
101,vau
102,get
103,əlavə
104,haqda
105,natamam
106,sıradan
107,söyləyir
108,can
109,bircə
110,qrup
111,şərt
112,qapalı
113,şəhər
114,düz
115,görə
116,qadın
117,mərhəba
118,əsasən
119,mi
120,keçmiş
121,ha
122,gələn
123,almaq
124,mülayim
125,tərəfindən
126,rol
127,son
128,cən
129,necə
130,balaca
131,yaradır
132,birtərəfli
133,qarşılıqlı
134,azca
135,edən
136,istərsə
137,otuz
138,istinad
139,min
140,böyük
141,kelvin
142,bıy
143,səhər
144,ura
145,dək
146,ah
147,hamısı
148,mavi
149,bütövlüklə
150,yaxud
151,oxqay
152,öz
153,çirkin
154,bəri
155,indiki
156,bundan
157,sm
158,əgər
159,özüdə
160,gərək
161,birhalda
162,həqiqətən
163,tərəfli
164,xarici
165,müxtəssər
166,kənar
167,cəhd
168,mərkəzi
169,narıncı
170,bunun
171,desimetr
172,təmiz
173,kimi
